IMAGE-PATH,IMAGE-NAME,IMAGE-1st-DOMINANT-COLOR,IMAGE-2nd-DOMINANT-COLOR
zip file/MDR-MTO-ABS3.jpg,MDR-MTO-ABS3.jpg,Desert,Burnt Umber
zip file/MTO-AR-TR-26.jpg,MTO-AR-TR-26.jpg,Pearl,Licorice
zip file/MDR-MTO-URB7.jpg,MDR-MTO-URB7.jpg,Dark Gray,Pastel Blue
zip file/MDR-MTO-ABS15.jpg,MDR-MTO-ABS15.jpg,Desert,Russet
zip file/MDR-MTO-URB19.jpg,MDR-MTO-URB19.jpg,Ash Gray,Charcoal
zip file/MDR-MTO-URB17.jpg,MDR-MTO-URB17.jpg,Matte Black,Bone White
zip file/MDR-MTO-URB24.jpg,MDR-MTO-URB24.jpg,Quartz,Rose Gold
zip file/MDR-MTO-ABS8.jpg,MDR-MTO-ABS8.jpg,Oxblood,Desert
zip file/MTO-PAT361-ORG.jpg,MTO-PAT361-ORG.jpg,Licorice,Watermelon Pink
zip file/MTO-AR-TR-5.jpg,MTO-AR-TR-5.jpg,Licorice,Silver
zip file/MTO-AR-TR-31.jpg,MTO-AR-TR-31.jpg,Licorice,Pewter
zip file/MDR-MTO-URB6.jpg,MDR-MTO-URB6.jpg,Matte Black,Light Gray
zip file/MTO-PAT364-GRY.jpg,MTO-PAT364-GRY.jpg,Onyx,Bone White
zip file/MTO-PAT361-GRY.jpg,MTO-PAT361-GRY.jpg,Licorice,Platinum
zip file/MDR-MTO-ABS17.jpg,MDR-MTO-ABS17.jpg,Licorice,Pastel Yellow
zip file/MTO-PAT360-YW.jpg,MTO-PAT360-YW.jpg,Olive Green,Burnt Umber
zip file/MTO-PAT363-LBLU.jpg,MTO-PAT363-LBLU.jpg,Jet Black,Viridian
zip file/MTO-PAT363-BRN.jpg,MTO-PAT363-BRN.jpg,Dark Purple,Flax
zip file/MTO-PAT365-PUR.jpg,MTO-PAT365-PUR.jpg,Byzantium,Mauve
zip file/MDR-MTO-ABS5.jpg,MDR-MTO-ABS5.jpg,Pastel Orange,Dark Brown
zip file/MDR-MTO-URB3.jpg,MDR-MTO-URB3.jpg,Ash Gray,Smoke
zip file/MDR-MTO-URB9.jpg,MDR-MTO-URB9.jpg,Matte Black,Rose Gold
zip file/MTO-PAT364-BRN.jpg,MTO-PAT364-BRN.jpg,Bisque,Nude
zip file/MDR-MTO-ABS36.jpg,MDR-MTO-ABS36.jpg,Fallow,Camel
zip file/MTO-PAT361-YW.jpg,MTO-PAT361-YW.jpg,Naples Yellow,Saddle Brown
zip file/MDR-MTO-URB4.jpg,MDR-MTO-URB4.jpg,Matte Black,Platinum
zip file/MTO-PAT362-ORG.jpg,MTO-PAT362-ORG.jpg,Dark Brown,Parchment
